order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Saprospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Saprospiria,Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales
Sphingobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Sphingobacteriia,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales
Campylobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales
Candidatus Cloacimonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Candidatus Cloacimonadota,Candidatus Cloacimonadia,Bacteria;Bacteria_none;Candidatus Cloacimonadota;Candidatus Cloacimonadia;Candidatus Cloacimonadales
Chlamydiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Chlamydiota,Chlamydiia,Bacteria;Bacteria_none;Chlamydiota;Chlamydiia;Chlamydiales
Chlorobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Chlorobiota,Chlorobiia,Bacteria;Bacteria_none;Chlorobiota;Chlorobiia;Chlorobiales
Dehalococcoidales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Chloroflexota,Dehalococcoidia,Bacteria;Bacteria_none;Chloroflexota;Dehalococcoidia;Dehalococcoidales
Chroococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Cyanobacteriota,Cyanophyceae,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Chroococcales
Leptolyngbyales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Cyanobacteriota,Cyanophyceae,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Leptolyngbyales
Synechococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Cyanobacteriota,Cyanophyceae,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Synechococcales
