order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Campylobacterales,0,181,23,115,0,0,36,273,80,0,86,0,12,0,0,0,0,293,0,0,0,0,1401,53,2553,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales
Candidatus Cloacimonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,Bacteria,Bacteria_none,Candidatus Cloacimonadota,Candidatus Cloacimonadia,Bacteria;Bacteria_none;Candidatus Cloacimonadota;Candidatus Cloacimonadia;Candidatus Cloacimonadales
Chlamydiales,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Bacteria,Bacteria_none,Chlamydiota,Chlamydiia,Bacteria;Bacteria_none;Chlamydiota;Chlamydiia;Chlamydiales
Chlorobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,Bacteria,Bacteria_none,Chlorobiota,Chlorobiia,Bacteria;Bacteria_none;Chlorobiota;Chlorobiia;Chlorobiales
Dehalococcoidales,0,0,0,169,0,0,0,0,0,0,161,0,0,0,0,0,0,0,92,0,24,0,129,0,575,Bacteria,Bacteria_none,Chloroflexota,Dehalococcoidia,Bacteria;Bacteria_none;Chloroflexota;Dehalococcoidia;Dehalococcoidales
Chroococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,Bacteria,Bacteria_none,Cyanobacteriota,Cyanophyceae,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Chroococcales
Leptolyngbyales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,Bacteria,Bacteria_none,Cyanobacteriota,Cyanophyceae,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Leptolyngbyales
Synechococcales,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,Bacteria,Bacteria_none,Cyanobacteriota,Cyanophyceae,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Synechococcales
Deferribacterales,0,0,0,0,0,0,28,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Bacteria,Bacteria_none,Deferribacterota,Deferribacteres,Bacteria;Bacteria_none;Deferribacterota;Deferribacteres;Deferribacterales
Trueperales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,Bacteria,Bacteria_none,Deinococcota,Deinococci,Bacteria;Bacteria_none;Deinococcota;Deinococci;Trueperales
Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,11,0,35,Bacteria,Bacteria_none,Dictyoglomota,Dictyoglomia,Bacteria;Bacteria_none;Dictyoglomota;Dictyoglomia;Dictyoglomales
Fusobacteriales,0,0,410,0,614,0,1003,171,142,0,294,0,4786,0,101,0,0,0,0,0,0,0,0,683,8204,Bacteria,Bacteria_none,Fusobacteriota,Fusobacteriia,Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales
Kiritimatiellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,Bacteria,Bacteria_none,Kiritimatiellota,Kiritimatiellia,Bacteria;Bacteria_none;Kiritimatiellota;Kiritimatiellia;Kiritimatiellales
Tichowtungiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,Bacteria,Bacteria_none,Kiritimatiellota,Tichowtungiia,Bacteria;Bacteria_none;Kiritimatiellota;Tichowtungiia;Tichowtungiales
Acholeplasmatales,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,129,Bacteria,Bacteria_none,Mycoplasmatota,Mollicutes,Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Acholeplasmatales
Myxococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,179,Bacteria,Bacteria_none,Myxococcota,Myxococcia,Bacteria;Bacteria_none;Myxococcota;Myxococcia;Myxococcales
